location,year,grantee,description,amount,term,program
"Washington, DC",2013,National Youth Justice Network,Support for a Fiscal Policy Center to provide technical assistance on budget analysis to juvenile justice advocates and a Youth Justice Leadership Institute to…,"$550,000",24 months,Youth Justice
"Portland, OR",2013,National Indian Child Welfare Association,Support to produce and disseminate a report on effective ways to reduce the overrepresentation of Native American youth in juvenile justice systems.,"$150,000",18 months,Youth Justice
"Oakland, CA",2013,National Center for Youth Law,Support to raise awareness of the role of implicit bias in creating racial disparities in juvenile justice.,"$100,000",12 months,Youth Justice
"Philadelphia, PA",2013,Juvenile Law Center,"Support to implement juvenile justice system reforms in Pennsylvania, bring litigation challenges to laws allowing youth to be tried as adults and develop stra…","$330,000",24 months,Youth Justice
"New Orleans, LA",2013,Youth Justice Project of Louisiana,Support to advocate for the deincarceration of youth and conduct strategic organizational planning.,"$100,000",12 months,Youth Justice
"Evanston, IL",2013,Youth Justice Initiative of Illinois,General support.,"$200,000",24 months,Youth Justice
"Dallas, PA",2013,"Justice Project, LLC","Support for a documentary film produced by Justice Project LLC about the ""kids for cash"" judicial corruption scandal in Luzerne County, Pennsylvania.","$50,000",6 months,Youth Justice
"Washington, DC",2013,Georgetown University,Support to the Center for Youth Justice Reform at Georgetown University Public Policy Institute to convene the Youth Justice Leadership Network and Public Info…,"$300,000",24 months,Youth Justice
"Baltimore, MD",2013,"Community Law in Action, Inc.",Support for a campaign to end the automatic prosecution of youth in adult courts for certain crimes in Maryland.,"$170,000",24 months,Youth Justice
"Washington, DC",2013,Community Foundation for the National Capital Region,Support for the Youth Justice Work Group of the Youth Transition Funders Group.,"$5,000",12 months,Youth Justice
"Bronx, NY",2013,Community Connections for Youth,Support to provide training and technical assistance to support community-led efforts to reduce racial and ethnic disparities in the juvenile justice system.,"$250,000",24 months,Youth Justice
"Washington, DC",2013,Coalition for Youth Justice,"$190,000 in project support to provide resources, training and technical assistance to judges, policymakers and practitioners on the deinstitutionalization of …","$240,000",12 months,Youth Justice
"Chicago, IL",2013,Children and Family Justice Center,Support to help the Illinois Youth Justice Commission promote more effective and fair juvenile justice policies.,"$180,000",24 months,Youth Justice
"Northhampton, MA",2013,Center for Public Representation,Support to provide training and technical assistance regarding alternatives to incarceration for youth in Alabama's juvenile justice system.,"$55,000",12 months,Youth Justice
"Washington, DC",2013,Center for Public Integrity,Support for the organization's Youth Justice Reporting Beat to conduct independent investigative reporting on juvenile justice issues.,"$150,000",24 months,Youth Justice
"Hartford, CT",2013,Center for Children’s Advocacy,Support to work locally and statewide to reduce racial and ethnic disparities in Connecticut's juvenile justice system.,"$150,000",24 months,Youth Justice
"Washington, DC",2013,Campaign for Youth Justice,General support.,"$800,000",24 months,Youth Justice
"Washington, DC",2013,Campaign for the Fair Sentencing of Youth,General support.,"$320,000",24 months,Youth Justice
"Miami Shores, FL",2013,Barry University,Support for strategic planning for the Youth Defense Institute to develop a coordinated litigation strategy to challenge Florida's prosecution of youth as adul…,"$20,000",3 months,Youth Justice
"Miami Shores, FL",2013,Barry University,Support for the Youth Defense Institute to coordinate strategic litigation challenging Florida's prosecution of youth in adult courts.,"$150,000",12 months,Youth Justice
"Little Rock, AR",2013,Arkansas Advocates for Children and Families,Support for advocacy to expand the use of alternatives to youth incarceration in Arkansas.,"$320,000",24 months,Youth Justice
"Baltimore, MD",2013,University of Maryland School of Law,Support to promote the development of pretrial legal clinics at law schools throughout the United States.,"$50,000",24 months,Criminal Justice
"San Francisco, CA",2013,Tides Center,Support for Californians for Safety and Justice.,"$200,000",24 months,Criminal Justice
"Washington, DC",2013,The Sentencing Project,General support.,"$400,000",24 months,Criminal Justice
"Washington, DC",2013,The Constitution Project,"$20,000 in general support for one year and $80,000 in project support over two years to foster the development of a ""Right-Left Justice Working Group"" to supp…","$100,000",24 months,Criminal Justice
"Austin, TX",2013,Texas Public Policy Foundation,Support to continue criminal justice reform efforts in Texas and generate national support for criminal justice reform among conservative audiences through the…,"$300,000",24 months,Criminal Justice
"Easthampton, MA",2013,Prison Policy Initiative,Support to advocate for change in the U.S. Census Bureau's practice of counting prisoners where they are incarcerated rather than in their home communities.,"$200,000",24 months,Criminal Justice
"Carrboro, NC",2013,National Health Law Program,Support to provide research and expert technical assistance in support of the development of a model pretrial program to divert pretrial defendants from incarc…,"$25,000",12 months,Criminal Justice
"New York, NY",2013,National Employment Law Project,"Support to continue a coordinated national campaign with Community Legal Services, its sub-grantee, to reduce unnecessary structural barriers to employment for…","$350,000",24 months,Criminal Justice
"Washington, DC",2013,National Criminal Justice Association,"Support to elevate the issue of pretrial detention reform through education and technical assistance among State Administering Agencies, which distribute and m…","$100,000",12 month,Criminal Justice
"Denver, CO",2013,National Conference of State Legislatures,Support for efforts to advance understanding of and support for pretrial reform strategies among key state lawmakers.,"$200,000",24 months,Criminal Justice
"Williamsburg, VA",2013,National Center for State Courts,Support to foster state court education and leadership on pretrial detention reform efforts.,"$300,000",24 months,Criminal Justice
"Washington, DC",2013,National Association of Pretrial Services Agencies,"$20,000 in general support and $30,000 for support to explore how to divert pretrial defendants from incarceration by tapping into the promise of health care r…","$50,000",12 months,Criminal Justice
"Washington, DC",2013,National Association of Counties Research Foundation,"Support to educate the organization's members, county government officials, about opportunities to manage local jail populations using pretrial detention refor…","$220,000",24 months,Criminal Justice
"Boston, MA",2013,Massachusetts Institute for a New Commonwealth,Support to advance criminal justice policy reform in Massachusetts.,"$100,000",12 months,Criminal Justice
"New York, NY",2013,Legal Action Center,"Support to explore opportunities to reduce jail populations by diverting to the public health system certain people who would otherwise be detained pretrial, t…","$400,000",24 months,Criminal Justice
"Washington, DC",2013,Justice Policy Institute,General support.,"$50,000",12 months,Criminal Justice
"Milwaukee, WI",2013,Justice Initiatives Institute,General support.,"$200,000",24 months,Criminal Justice
"Denver, CO",2013,JFA Institute,"Support to provide ongoing technical assistance, research and reporting on efforts to implement a new pretrial services program in Los Angeles County, and targ…","$175,000",24 months,Criminal Justice
"Alexandria, VA",2013,International Association of Chiefs of Police,"Support to raise awareness and understanding about the need for pretrial detention reform among law enforcement leaders throughout the country, encouraging the…","$100,000",12 months,Criminal Justice
"Long Island City, NY",2013,Fortune Society,"Support to advance sentencing reform efforts in New York State through coalition building, media advocacy and participation in the state's Sentencing Commissio…","$200,000",24 months,Criminal Justice
"Montgomery, AL",2013,Equal Justice Initiative of Alabama,Support to challenge the underrepresentation of African Americans on criminal juries in the South and advocate for the reform of parole policies that contribut…,"$300,000",36 months,Criminal Justice
"New York, NY",2013,Drug Policy Alliance,Support to advance sentencing and pretrial detention reforms that would reduce incarceration rates in New Jersey.,"$250,000",24 months,Criminal Justice
"Washington, DC",2013,Dewey Square Group,Support to design and execute a communications campaign to support the pretrial advocacy field in influencing key decision makers and policymakers across the n…,"$163,000",12 months,Criminal Justice
"Boston, MA",2013,Crime and Justice Institute,Support to expand the organization's ability to provide expert technical assistance and training for pretrial detention reform and to help two California count…,"$500,000",24 months,Criminal Justice
"New York, NY",2013,Council of State Governments Justice Center,"$180,000 in general support of the Council of State Governments' Justice Center and $270,000 to the Justice Center to develop expertise in the area of pretrial…","$450,000",24 months,Criminal Justice
"Denver, CO",2013,Colorado Criminal Defense Institute,Support for advocacy to reduce over-incarceration in Colorado through pretrial detention reform.,"$100,000",12 months,Criminal Justice
"Lansing, MI",2013,Citizens Alliance on Prisons & Public Spending,General support.,"$100,000",12 months,Criminal Justice
"New York, NY",2013,"Center on Media, Crime and Justice","$100,000 in general support; $75,000 for support for ongoing capacity-building of journalists to cover pretrial reform; $25,000 for support to educate journali…","$200,000",24 months,Criminal Justice
"Washington, DC",2013,American Bar Association Fund for Justice and Education,"Support for the organization's Criminal Justice Section's Racial Justice Improvement Project, which seeks to reduce criminal justice racial disparities in targ…","$100,000",24 months,Criminal Justice
